title,directors,adaptors,starring,genre,country,release_date,runtime,rate
"亨利六世：第二部分 Henry VI, Part 2",多米尼·克库克,本·鲍尔,本尼迪克特·康伯巴奇/安德鲁·斯科特/凯莉·霍威/本·丹尼尔斯/汤姆·斯图里奇/苏菲·奥康内多/詹姆斯·弗雷特/本·迈尔斯/菲比·福克斯/安东·莱瑟/杰森·沃特金斯/阿德里安·敦巴/斯坦利·汤森德,剧情/历史, 英国,2016-05-14(英国),123分钟,8.1
理查三世 Richard III,多米尼·克库克,本·鲍尔,本尼迪克特·康伯巴奇/朱迪·丹奇/凯莉·霍威/本·丹尼尔斯/苏菲·奥康内多/詹姆斯·弗雷特/菲比·福克斯/山姆·特劳顿/卢克·崔德威,剧情/传记/历史, 英国,2016-05-21(英国),130分钟,8.5
伤物语2：热血篇 傷物語Ⅱ 熱血篇,新房昭之/尾石达也,西尾维新,神谷浩史/坂本真绫/堀江由衣/樱井孝宏/入野自由/江原正士/大塚芳忠,喜剧/动作/动画/奇幻, 日本,2016-08-19(日本),69分钟,8.2
《西贡小姐》二十五周年表演 Miss Saigon: The 25th Anniversary Performance,Brett Sullivan,阿兰·布伯里勒 Alain Boublil,Eva Noblezada/阿利斯泰尔·布拉默/乔恩·琼·布里恩斯/Jonathan Pryce/丽娅·萨隆加/Simon Bowman/Rachelle Ann Go,音乐/歌舞, 英国 / 美国,2016-10-16(英国)/2016-11-12(香港),200分钟,8.3
伤物语3：冷血篇 傷物語Ⅲ 冷血篇,新房昭之/尾石达也,西尾维新,神谷浩史/坂本真绫/堀江由衣/樱井孝宏/入野自由/江原正士/大塚芳忠,喜剧/动画/奇幻, 日本,2017-01-06(日本)/2017-03-31(台湾)/2017-05-18(香港),83分钟,8.4
黑执事：大西洋之书 黒執事 Book of the Atlantic,阿部记之,吉野弘幸,小野大辅/坂本真绫/田村由加莉/诹访部顺一/福山润/大桥贤一郎/杉山纪彰/寺岛拓笃/东地宏树/梶裕贵/加藤英美里,剧情/动画, 日本,2017-01-21(日本),100分钟,8.4
无法避免的战争 Chakravyuh,Prakash Jha,Prakash Jha/Sagar Pandya,阿俊·拉姆鲍 阿布依·多尔 Manoj Bajpai,剧情, 印度,2012-10-24(印度),147分钟,8.3
西蒙·阿姆斯特尔：麻木 Simon Amstell: Numb,Tim Kirkby,西蒙·阿姆斯特尔,西蒙·阿姆斯特尔,, 英国,2012-12-31,58分钟,9.3
奇特的故事 Extraordinary Tales,劳尔·加西亚,劳尔·加西亚/埃德加·爱伦·坡 ,罗杰·科曼/吉尔莫·德尔·托罗/柯奈莉亚·冯克/史蒂文·休斯/克里斯托弗·李/朱利安·山德斯/贝拉·卢戈西,动画/悬疑, 卢森堡 / 美国 / 西班牙 / 比利时,2013-02-28(卢森堡电影节),73分钟,8.2
我亲爱的甜橙树 Meu Pé de Laranja Lima,马科斯·伯恩斯坦,马科斯·伯恩斯坦/Melanie Dimantas,João Guilherme de Ávila/José de Abreu/Fernanda Vianna/Eduardo Dascar,剧情, 巴西,2013-04-19,99分钟,8.5
